event_id,timestamp,platform,event_type,acct_id,person_id,source_ip,user_agent,resource,success,is_anomalous,details
evt-a1e20449,2026-06-02T06:28:12.026822,active_directory,resource_access,acct-act-ID-0000-de8040,ID-0000,67.29.131.74,,gpo,True,False,"{""post_termination"": true}"
evt-5076c666,2026-05-26T11:25:12.026822,github,resource_access,acct-git-ID-0000-75a05e,ID-0000,112.181.49.147,,repos:private,True,False,"{""post_termination"": true}"
evt-b0507502,2026-06-14T09:27:12.026822,github,login_success,acct-git-ID-0000-75a05e,ID-0000,46.255.106.41,,packages,True,False,"{""post_termination"": true}"
evt-fc05928c,2026-06-13T06:52:12.026822,active_directory,resource_access,acct-act-ID-0000-de8040,ID-0000,4.115.152.238,,domain-controller,True,False,"{""post_termination"": true}"
evt-abcf2ca1,2026-05-29T02:18:12.026822,github,resource_access,acct-git-ID-0000-75a05e,ID-0000,82.131.74.220,,packages,True,False,"{""post_termination"": true}"
evt-f14bb73f,2026-06-12T12:59:12.026822,github,login_success,acct-git-ID-0000-75a05e,ID-0000,117.26.58.194,,repos:public,True,False,"{""post_termination"": true}"
evt-38525220,2026-06-01T06:08:12.026822,salesforce,login_success,acct-sal-ID-0001-39aed2,ID-0001,148.133.198.252,,contacts,True,False,"{""post_termination"": true}"
evt-59263bf1,2026-06-12T07:28:12.026822,active_directory,resource_access,acct-act-ID-0001-936a99,ID-0001,114.74.203.114,,dns,True,False,"{""post_termination"": true}"
evt-e587cba6,2026-05-24T08:34:12.026822,salesforce,login_success,acct-sal-ID-0001-39aed2,ID-0001,196.226.89.7,,opportunities,True,False,"{""post_termination"": true}"
evt-09d2b511,2026-06-08T16:40:12.026822,salesforce,resource_access,acct-sal-ID-0001-39aed2,ID-0001,49.156.31.53,,accounts,True,False,"{""post_termination"": true}"
evt-22e681f3,2026-05-30T19:01:12.026822,aws_iam,login_success,acct-aws-ID-0001-900620,ID-0001,75.53.97.214,,s3://prod-data,True,False,"{""post_termination"": true}"
evt-03f71cbe,2026-05-23T02:07:12.026822,salesforce,login_success,acct-sal-ID-0001-39aed2,ID-0001,155.87.65.29,,accounts,True,False,"{""post_termination"": true}"
evt-902e2fa1,2026-06-04T11:06:12.026822,salesforce,resource_access,acct-sal-ID-0001-39aed2,ID-0001,2.48.2.98,,reports,True,False,"{""post_termination"": true}"
evt-5468b0a4,2026-06-06T03:21:12.026822,active_directory,resource_access,acct-act-ID-0002-1360c5,ID-0002,195.134.77.102,,exchange,True,False,"{""post_termination"": true}"
evt-1bfe638f,2026-05-23T02:19:12.026822,active_directory,resource_access,acct-act-ID-0002-1360c5,ID-0002,165.25.137.77,,gpo,True,False,"{""post_termination"": true}"
evt-9acc94b9,2026-06-06T08:53:12.026822,active_directory,login_success,acct-act-ID-0002-1360c5,ID-0002,154.32.235.27,,domain-controller,True,False,"{""post_termination"": true}"
