entitlement_id,person_id,acct_id,platform,role_id,role_name,is_admin_role,permission_id,resource,action,privilege_level,is_sensitive,granted_at
ENT-000001,ID-0036,acct-sal-ID-0036-125cef,salesforce,role-sal-001,Modify All Data,True,perm-sal-04-03,setup,delete,admin,True,2025-12-30T12:44:11.753005
ENT-000002,ID-0036,acct-sal-ID-0036-125cef,salesforce,role-sal-001,Modify All Data,True,perm-sal-04-00,setup,read,read,False,2025-12-30T12:44:11.753005
ENT-000003,ID-0036,acct-sal-ID-0036-125cef,salesforce,role-sal-001,Modify All Data,True,perm-sal-01-05,contacts,execute,write,False,2025-12-30T12:44:11.753005
ENT-000004,ID-0036,acct-sal-ID-0036-125cef,salesforce,role-sal-001,Modify All Data,True,perm-sal-04-04,setup,admin,admin,True,2025-12-30T12:44:11.753005
ENT-000005,ID-0036,acct-sal-ID-0036-125cef,salesforce,role-sal-001,Modify All Data,True,perm-sal-03-02,reports,create,write,False,2025-12-30T12:44:11.753005
ENT-000006,ID-0036,acct-aws-ID-0036-915727,aws_iam,role-aws-001,IAMFullAccess,True,perm-aws-05-00,kms:*,read,read,False,2025-07-18T12:44:11.753005
ENT-000007,ID-0036,acct-aws-ID-0036-915727,aws_iam,role-aws-001,IAMFullAccess,True,perm-aws-04-01,lambda:*,write,write,False,2025-07-18T12:44:11.753005
ENT-000008,ID-0036,acct-git-ID-0036-bb7728,github,role-git-001,Admin,True,perm-git-02-04,actions,admin,admin,True,2025-06-27T12:44:11.753005
ENT-000009,ID-0036,acct-git-ID-0036-bb7728,github,role-git-001,Admin,True,perm-git-03-00,packages,read,read,False,2025-06-27T12:44:11.753005
ENT-000010,ID-0036,acct-git-ID-0036-bb7728,github,role-git-001,Admin,True,perm-git-00-03,repos:private,delete,admin,True,2025-06-27T12:44:11.753005
ENT-000011,ID-0037,acct-sal-ID-0037-6abbc1,salesforce,role-sal-000,System Administrator,True,perm-sal-04-02,setup,create,write,False,2026-06-10T12:44:11.753005
ENT-000012,ID-0037,acct-sal-ID-0037-6abbc1,salesforce,role-sal-000,System Administrator,True,perm-sal-01-02,contacts,create,write,False,2026-06-10T12:44:11.753005
ENT-000013,ID-0037,acct-git-ID-0037-61ecfa,github,role-git-000,Owner,True,perm-git-04-02,settings,create,write,False,2026-04-01T12:44:11.753005
ENT-000014,ID-0037,acct-git-ID-0037-61ecfa,github,role-git-000,Owner,True,perm-git-04-01,settings,write,write,False,2026-04-01T12:44:11.753005
ENT-000015,ID-0037,acct-git-ID-0037-61ecfa,github,role-git-000,Owner,True,perm-git-01-02,repos:public,create,write,False,2026-04-01T12:44:11.753005
ENT-000016,ID-0037,acct-git-ID-0037-61ecfa,github,role-git-000,Owner,True,perm-git-01-05,repos:public,execute,write,False,2026-04-01T12:44:11.753005
ENT-000017,ID-0037,acct-git-ID-0037-61ecfa,github,role-git-000,Owner,True,perm-git-02-02,actions,create,write,False,2026-04-01T12:44:11.753005
ENT-000018,ID-0037,acct-okt-ID-0037-f2c6d4,okta,role-okt-001,Org Admin,True,perm-okt-00-05,sso-apps,execute,write,False,2026-05-31T12:44:11.753005
ENT-000019,ID-0037,acct-okt-ID-0037-f2c6d4,okta,role-okt-001,Org Admin,True,perm-okt-04-00,policies,read,read,False,2026-05-31T12:44:11.753005
ENT-000020,ID-0037,acct-okt-ID-0037-f2c6d4,okta,role-okt-001,Org Admin,True,perm-okt-00-03,sso-apps,delete,admin,True,2026-05-31T12:44:11.753005
ENT-000021,ID-0037,acct-okt-ID-0037-f2c6d4,okta,role-okt-001,Org Admin,True,perm-okt-01-03,mfa-config,delete,admin,True,2026-05-31T12:44:11.753005
