person_id,acct_id,target_id,target_type,platform,granted_at,granted_by,is_direct
ID-0000,acct-act-ID-0000-de8040,grp-act-000,group,active_directory,2025-10-16T12:44:11.753005,system,True
ID-0000,acct-act-ID-0000-de8040,grp-act-001,group,active_directory,2026-03-02T12:44:11.753005,system,True
ID-0000,acct-act-ID-0000-de8040,grp-act-003,group,active_directory,2025-11-26T12:44:11.753005,system,True
ID-0000,acct-git-ID-0000-75a05e,grp-git-007,group,github,2025-09-08T12:44:11.753005,system,True
ID-0000,acct-git-ID-0000-75a05e,grp-git-002,group,github,2025-07-16T12:44:11.753005,system,True
ID-0001,acct-sal-ID-0001-39aed2,grp-sal-006,group,salesforce,2026-05-09T12:44:11.753005,system,True
ID-0001,acct-sal-ID-0001-39aed2,grp-sal-004,group,salesforce,2026-03-16T12:44:11.753005,system,True
ID-0001,acct-sal-ID-0001-39aed2,grp-sal-001,group,salesforce,2026-05-15T12:44:11.753005,system,True
ID-0001,acct-act-ID-0001-936a99,grp-act-006,group,active_directory,2025-09-01T12:44:11.753005,system,True
ID-0001,acct-okt-ID-0001-57cac5,grp-okt-001,group,okta,2026-01-10T12:44:11.753005,system,True
ID-0001,acct-okt-ID-0001-57cac5,grp-okt-006,group,okta,2026-02-17T12:44:11.753005,system,True
ID-0001,acct-okt-ID-0001-57cac5,grp-okt-005,group,okta,2026-02-04T12:44:11.753005,system,True
ID-0001,acct-aws-ID-0001-900620,grp-aws-007,group,aws_iam,2025-08-05T12:44:11.753005,system,True
ID-0001,acct-aws-ID-0001-900620,grp-aws-005,group,aws_iam,2025-09-04T12:44:11.753005,system,True
ID-0002,acct-okt-ID-0002-84ecf9,grp-okt-008,group,okta,2025-07-20T12:44:11.753005,system,True
ID-0002,acct-okt-ID-0002-84ecf9,grp-okt-004,group,okta,2025-09-22T12:44:11.753005,system,True
ID-0002,acct-act-ID-0002-1360c5,grp-act-001,group,active_directory,2026-04-26T12:44:11.753005,system,True
ID-0002,acct-act-ID-0002-1360c5,grp-act-002,group,active_directory,2025-09-09T12:44:11.753005,system,True
ID-0003,acct-aws-ID-0003-4ae086,grp-aws-001,group,aws_iam,2026-01-29T12:44:11.753005,system,True
ID-0003,acct-okt-ID-0003-84d31b,grp-okt-004,group,okta,2025-09-10T12:44:11.753005,system,True
ID-0003,acct-git-ID-0003-95544b,grp-git-002,group,github,2026-04-05T12:44:11.753005,system,True
ID-0003,acct-git-ID-0003-95544b,grp-git-004,group,github,2025-11-11T12:44:11.753005,system,True
ID-0003,acct-git-ID-0003-95544b,grp-git-000,group,github,2026-04-15T12:44:11.753005,system,True
ID-0004,acct-aws-ID-0004-7530f8,grp-aws-009,group,aws_iam,2026-03-21T12:44:11.753005,system,True
ID-0004,acct-aws-ID-0004-7530f8,grp-aws-002,group,aws_iam,2025-11-20T12:44:11.753005,system,True
ID-0004,acct-act-ID-0004-ae206d,grp-act-006,group,active_directory,2025-06-25T12:44:11.753005,system,True
ID-0004,acct-act-ID-0004-ae206d,grp-act-003,group,active_directory,2026-04-25T12:44:11.753005,system,True
ID-0005,acct-git-ID-0005-911d4f,grp-git-003,group,github,2026-05-15T12:44:11.753005,system,True
ID-0005,acct-okt-ID-0005-91ff88,grp-okt-008,group,okta,2026-02-06T12:44:11.753005,system,True
ID-0005,acct-okt-ID-0005-91ff88,grp-okt-006,group,okta,2026-03-20T12:44:11.753005,system,True
ID-0005,acct-okt-ID-0005-91ff88,grp-okt-005,group,okta,2025-08-26T12:44:11.753005,system,True
ID-0006,acct-okt-ID-0006-0d45f2,grp-okt-004,group,okta,2026-06-19T12:44:11.753005,system,True
ID-0006,acct-git-ID-0006-603e58,grp-git-003,group,github,2026-01-01T12:44:11.753005,system,True
ID-0006,acct-git-ID-0006-603e58,grp-git-002,group,github,2025-08-04T12:44:11.753005,system,True
ID-0006,acct-git-ID-0006-603e58,grp-git-007,group,github,2026-01-10T12:44:11.753005,system,True
ID-0006,acct-sal-ID-0006-801c79,grp-sal-002,group,salesforce,2025-11-25T12:44:11.753005,system,True
ID-0006,acct-sal-ID-0006-801c79,grp-sal-004,group,salesforce,2025-06-28T12:44:11.753005,system,True
ID-0006,acct-sal-ID-0006-801c79,grp-sal-006,group,salesforce,2026-01-19T12:44:11.753005,system,True
ID-0006,acct-act-ID-0006-864582,grp-act-006,group,active_directory,2026-06-19T12:44:11.753005,system,True
ID-0006,acct-act-ID-0006-864582,grp-act-002,group,active_directory,2026-01-15T12:44:11.753005,system,True
ID-0006,acct-act-ID-0006-864582,grp-act-004,group,active_directory,2026-01-24T12:44:11.753005,system,True
ID-0007,acct-okt-ID-0007-267210,grp-okt-007,group,okta,2025-07-30T12:44:11.753005,system,True
ID-0007,acct-okt-ID-0007-267210,grp-okt-002,group,okta,2025-08-06T12:44:11.753005,system,True
ID-0007,acct-okt-ID-0007-267210,grp-okt-001,group,okta,2025-12-30T12:44:11.753005,system,True
ID-0007,acct-git-ID-0007-e26206,grp-git-003,group,github,2026-05-27T12:44:11.753005,system,True
ID-0007,acct-git-ID-0007-e26206,grp-git-006,group,github,2026-02-14T12:44:11.753005,system,True
ID-0007,acct-aws-ID-0007-9268e2,grp-aws-007,group,aws_iam,2025-08-29T12:44:11.753005,system,True
ID-0007,acct-sal-ID-0007-7ee2a8,grp-sal-003,group,salesforce,2025-07-02T12:44:11.753005,system,True
ID-0007,acct-sal-ID-0007-7ee2a8,grp-sal-006,group,salesforce,2026-06-17T12:44:11.753005,system,True
ID-0007,acct-sal-ID-0007-7ee2a8,grp-sal-005,group,salesforce,2026-04-26T12:44:11.753005,system,True
ID-0008,acct-sal-ID-0008-379d1c,grp-sal-005,group,salesforce,2025-11-05T12:44:11.753005,system,True
ID-0008,acct-sal-ID-0008-379d1c,grp-sal-004,group,salesforce,2025-08-10T12:44:11.753005,system,True
ID-0008,acct-aws-ID-0008-9bbc9b,grp-aws-007,group,aws_iam,2026-02-13T12:44:11.753005,system,True
ID-0008,acct-aws-ID-0008-9bbc9b,grp-aws-002,group,aws_iam,2025-07-28T12:44:11.753005,system,True
ID-0008,acct-aws-ID-0008-9bbc9b,grp-aws-009,group,aws_iam,2026-01-29T12:44:11.753005,system,True
ID-0009,acct-act-ID-0009-f7f365,grp-act-008,group,active_directory,2025-12-05T12:44:11.753005,system,True
ID-0009,acct-act-ID-0009-f7f365,grp-act-001,group,active_directory,2025-06-29T12:44:11.753005,system,True
ID-0009,acct-okt-ID-0009-1e1a4c,grp-okt-001,group,okta,2025-09-15T12:44:11.753005,system,True
ID-0009,acct-sal-ID-0009-1bd1af,grp-sal-001,group,salesforce,2025-08-24T12:44:11.753005,system,True
ID-0010,acct-git-ID-0010-3cf3ad,grp-git-005,group,github,2026-03-27T12:44:11.753005,system,True
ID-0010,acct-git-ID-0010-3cf3ad,grp-git-007,group,github,2025-10-23T12:44:11.753005,system,True
ID-0010,acct-aws-ID-0010-5f011e,grp-aws-000,group,aws_iam,2026-04-11T12:44:11.753005,system,True
ID-0010,acct-aws-ID-0010-5f011e,grp-aws-006,group,aws_iam,2025-10-26T12:44:11.753005,system,True
ID-0010,acct-aws-ID-0010-5f011e,grp-aws-009,group,aws_iam,2026-03-18T12:44:11.753005,system,True
ID-0010,acct-sal-ID-0010-2042a5,grp-sal-003,group,salesforce,2025-12-07T12:44:11.753005,system,True
ID-0011,acct-sal-ID-0011-807834,grp-sal-000,group,salesforce,2025-08-05T12:44:11.753005,system,True
ID-0011,acct-sal-ID-0011-807834,grp-sal-006,group,salesforce,2026-04-02T12:44:11.753005,system,True
ID-0011,acct-sal-ID-0011-807834,grp-sal-001,group,salesforce,2026-02-17T12:44:11.753005,system,True
ID-0011,acct-act-ID-0011-f4c469,grp-act-003,group,active_directory,2025-08-13T12:44:11.753005,system,True
ID-0011,acct-act-ID-0011-f4c469,grp-act-007,group,active_directory,2026-04-22T12:44:11.753005,system,True
ID-0011,acct-act-ID-0011-f4c469,grp-act-004,group,active_directory,2026-03-28T12:44:11.753005,system,True
ID-0012,acct-git-ID-0012-2e17eb,grp-git-001,group,github,2025-08-16T12:44:11.753005,system,True
ID-0012,acct-sal-ID-0012-70fffd,grp-sal-006,group,salesforce,2025-12-12T12:44:11.753005,system,True
ID-0012,acct-sal-ID-0012-70fffd,grp-sal-000,group,salesforce,2026-05-15T12:44:11.753005,system,True
ID-0012,acct-sal-ID-0012-70fffd,grp-sal-002,group,salesforce,2025-10-03T12:44:11.753005,system,True
ID-0012,acct-okt-ID-0012-355fb6,grp-okt-007,group,okta,2025-07-29T12:44:11.753005,system,True
ID-0012,acct-okt-ID-0012-355fb6,grp-okt-001,group,okta,2025-10-27T12:44:11.753005,system,True
ID-0012,acct-act-ID-0012-f7cb39,grp-act-004,group,active_directory,2025-08-20T12:44:11.753005,system,True
ID-0012,acct-act-ID-0012-f7cb39,grp-act-008,group,active_directory,2026-02-02T12:44:11.753005,system,True
ID-0012,acct-act-ID-0012-f7cb39,grp-act-007,group,active_directory,2026-01-05T12:44:11.753005,system,True
ID-0013,acct-sal-ID-0013-ca9f96,grp-sal-003,group,salesforce,2026-02-07T12:44:11.753005,system,True
